veg_class,snow,snow_date,gps,map,gps_p,map_p,diff,maptime,maptime_p,maptime_diff,habitat_use,Habitat,CI,length,mean
moss tundra,4,152,17,1352,0.004755244755244755,0.040523933699007884,0.11734410559854347,5408,0.01404350682569484,0.3386080709231597,0.4822248658517663,Habitat1,0.2240241723481703,3,0.16670893132686615
moss tundra,6,150,51,1737,0.014265734265734267,0.05206366333962773,0.27400557991231567,10422,0.027063873546115315,0.5271135427612111,1.1260242117989432,Habitat2,0.2003807976088213,11,0.43519484996795654
moss tundra,8,148,96,866,0.026853146853146853,0.025956898360459193,1.0345283354059336,6928,0.017990646318123863,1.4926171288296,4.251387704702654,Habitat3,0.4109217072129718,22,0.633643627166748
moss tundra,9,147,10,189,0.002797202797202797,0.00566495818721338,0.4937728937728938,1701,0.004417160708303795,0.6332580999247666,2.0291566094976288,Habitat4,0.5468013591053031,2,0.7110185623168945
moss tundra,13,143,82,722,0.02293706293706294,0.02164073974162995,1.059901981674835,9386,0.024373586365749215,0.9410622873823387,4.35566054487455,Habitat5,0.28088581082250447,23,0.8576455116271973
moss tundra,14,142,391,1260,0.10937062937062937,0.03776638791475587,2.895978021978022,17640,0.04580759253055787,2.387609200323486,11.901003514703593,Habitat6,0.31158781038435884,42,0.8695893287658691
moss tundra,18,138,442,499,0.12363636363636364,0.014956688547192998,8.26629258517034,8982,0.023324478237498343,5.3007129410335825,33.97027752389036,Habitat7,0.6453902694632295,37,0.8868815898895264
moss tundra,22,134,256,647,0.07160839160839161,0.01939274046098972,3.6925359648079894,14234,0.03696288390475968,1.937305319382037,15.174453383915495,Habitat8,0.3190074159873597,38,0.8895326256752014
dwarf shrub heath,4,152,47,3817,0.013146853146853148,0.11440817672271678,0.114911831684166,15268,0.03964797748053048,0.331589502978028,0.4722294514584081,Habitat9,0.1313817970242869,6,0.03279538452625275
dwarf shrub heath,6,150,32,5400,0.008951048951048951,0.16185594820609658,0.0553025641025641,32400,0.08413639444388181,0.10638736078736077,0.2272655402637344,Habitat10,0.05119407342540844,10,0.11051434278488159
dwarf shrub heath,8,148,99,2485,0.027692307692307693,0.0744837094985463,0.37179012536759015,19880,0.05162442967729538,0.536418665841201,1.5278691879400454,Habitat11,0.14536010667171992,27,0.20497696101665497
dwarf shrub heath,9,147,69,966,0.0193006993006993,0.028954230734646164,0.6665934065934066,8694,0.02257659917577495,0.8548984348984349,2.7393614228217986,Habitat12,0.27868590061316323,9,0.2575035095214844
dwarf shrub heath,13,143,219,2552,0.061258741258741256,0.07649192218925156,0.8008524234386304,33176,0.08615151302685872,0.71105821716263,3.291098010333713,Habitat13,0.12729552689605647,52,0.4015820622444153
dwarf shrub heath,14,142,159,3875,0.044475524475524476,0.11614662949974523,0.3829256575682382,54250,0.14087652464754902,0.31570571879733167,1.573630587664858,Habitat14,0.06692091687227339,44,0.41712668538093567
dwarf shrub heath,18,138,361,1798,0.10097902097902098,0.05389203608788178,1.8737280739282964,32364,0.08404290956116638,1.2015174332526948,7.700073765818338,Habitat15,0.1639526635500784,80,0.44102802872657776
dwarf shrub heath,22,134,1244,5198,0.347972027972028,0.1558013368102389,2.2334341610678665,114356,0.29695992355014034,1.1717811070667066,9.178283674464112,Habitat16,0.07335445636073226,213,0.4448482096195221
