veg_class,snow,snow_date,gps,map,gps_p,map_p,diff,maptime,maptime_p,maptime_diff,habitat_use,Habitat,CI,length,mean
moss tundra,4,152,47,1742,0.023713420787083755,0.04075616489635488,0.5818364129055877,6968,0.01434225882343255,1.6533951226943757,2.3644207541044224,Habitat1,0.6515885898421645,47,0.16670893132686615
moss tundra,6,150,111,2069,0.05600403632694248,0.04840671938608394,1.156947569205498,12414,0.02555177971212567,2.1917861283206665,4.701511942814797,Habitat2,0.5526864803027746,111,0.43519484996795654
moss tundra,8,148,46,938,0.02320887991927346,0.021945627251883395,1.0575628416946548,7504,0.01544550950215813,1.5026296099866818,4.2976401548767305,Habitat3,0.5987299262168263,46,0.633643627166748
moss tundra,9,147,13,219,0.006559031281533804,0.00512376585091947,1.2801192467366111,1971,0.004056916208522611,1.6167529582580107,5.202047255168439,Habitat4,1.2220813288848735,13,0.7110185623168945
moss tundra,13,143,98,820,0.04944500504540868,0.019184876702072903,2.577290738598607,10660,0.021941515364206514,2.253490892706024,10.473390074148691,Habitat5,0.6068599561636044,98,0.8576455116271973
moss tundra,14,142,119,1483,0.06004036326942482,0.034696551401431845,1.7304418117746163,20762,0.04273449737257558,1.4049624299069234,7.0320324455077925,Habitat6,0.341430976722135,119,0.8695893287658691
moss tundra,18,138,124,549,0.06256306760847628,0.012844508913948808,4.870802615157547,9882,0.020340155237250353,3.0758402223941808,19.79358207389017,Habitat7,0.7312755394052994,124,0.8868815898895264
moss tundra,22,134,104,666,0.05247225025227043,0.01558186327265921,3.3675209013251393,14652,0.030158262956505987,1.7398963039729942,13.684664851434093,Habitat8,0.4541086270678924,104,0.8895326256752014
dwarf shrub heath,4,152,54,5875,0.027245206861755803,0.13745262271302233,0.1982152564570496,23500,0.048370132369498414,0.5632650879189299,0.8054914676218914,Habitat9,0.2067163040191464,54,0.03279538452625275
dwarf shrub heath,6,150,126,7074,0.06357214934409687,0.16550465584202892,0.38411094250288214,42444,0.08736263396982939,0.7276812345888227,1.5609196402766135,Habitat10,0.17153397495680575,126,0.11051434278488159
dwarf shrub heath,8,148,40,2838,0.020181634712411706,0.06639839034205232,0.30394765006268537,22704,0.04673172277945072,0.4318615602437441,1.2351583985275527,Habitat11,0.1848180694095297,40,0.20497696101665497
dwarf shrub heath,9,147,130,1186,0.06559031281533804,0.027747882644705443,2.3637952363854793,10674,0.021970331613277706,2.985403860527018,9.605803953472918,Habitat12,0.6920813845764732,130,0.2575035095214844
dwarf shrub heath,13,143,241,3396,0.12159434914228053,0.07945346497590192,1.5303844732153578,44148,0.0908699831424943,1.338113477490218,6.219055270466049,Habitat13,0.2208966206635199,241,0.4015820622444153
dwarf shrub heath,14,142,174,4956,0.08779011099899092,0.11595152309204061,0.757127708700337,69384,0.14281333039682034,0.6147193035486099,3.076755645145722,Habitat14,0.12170451859318326,174,0.41712668538093567
dwarf shrub heath,18,138,97,2078,0.04894046417759838,0.048617285105984745,1.0066474109138162,37404,0.0769887843042008,0.6356830364306455,4.09073405795303,Habitat15,0.17211380072823984,97,0.44102802872657776
dwarf shrub heath,22,134,458,6853,0.23107971745711403,0.16033409760890927,1.4412387689408972,150766,0.31032218624765096,0.7446445265524847,5.856792014591082,Habitat16,0.08342841808685286,458,0.4448482096195221
